title,description,prompt,sourceUrl,sourceType,sourceAuthorName,mediaPath,thumbnailPath,workflowJsonPath,mediaType,sourceAuthorAvatar,workflowId,publishedAt,isPublic,importKey
Cute Gun-Wielding Caterpillar,（空）,"The caterpillar's black bead eyes lock dead forward and its mandibles clench with menace. It speaks in a deep gravelly hardboiled action-hero American baritone, slow and seething: ""You came to the wrong leaf motherfuckker."" Brief beat — the gun stays still, prolegs tightening on the Glock grip, the muzzle settling slightly as it commits to aim. Then the caterpillar opens fire: rapid sustained pistol shots, muzzle flashes flaring bright at the barrel, brass casings ejecting and tumbling down onto the leaf, slide cycling sharply with each round. Body and weapon recoil with every shot but stay anchored on the leaf, fine yellow spines vibrating from the concussion.
Camera locked on the existing macro close-up framing, subtle handheld micro-sway, with small jolts on each gunshot. Photorealistic macro photography, shallow depth of field, soft natural green daylight, blurred green foliage backdrop.
Audio:
- Dialogue (0–3s): one line only, ""You came to the wrong leaf motherfuckker,"" deep gravelly hardboiled American baritone, menacing snarl, slow and deliberate, no overlap with gunfire
- Transition (3–3.5s): silence except a faint mechanical click as aim settles
- SFX (3.5–8s): rapid sustained 9mm pistol fire, punchy realistic gunshots with audible slide cycling and brass casings clinking onto the leaf, dry close acoustics, no reverb tail, no laser or sci-fi sounds
- Ambience: faint outdoor leaf rustle, drowned out once firing starts
- No BGM
Movement amplitude: large.",https://civitai.com/images/130099270,civitai,schmede,E:\下载\展示视频内容\vidu-video-3283935406408363.mp4,,E:\下载\文生视频-admin.json,video,,,,TRUE,
Давайте выпьем!,（空）,（空）,https://civitai.com/images/130032838,civitai,luciyagilm323,E:\下载\展示视频内容\коеты1.mp4,,E:\下载\图生视频-admin.json,video,,,,TRUE,
《The red in the snow》,（空）,（空）,（空）,manual,XeoLexx77,E:\下载\展示视频内容\未知\《The red in the snow》 - Martini Reel - Martini Art.mp4,,E:\下载\文生图生视频-admin.json,video,,,,TRUE,
《宋定伯卖鬼》,（空）,（空）,（空）,manual,MimiVrrt,E:\下载\展示视频内容\未知\《宋定伯卖鬼》 - Martini Reel - Martini Art.mp4,,E:\下载\文生图生视频-admin.json,video,,,,TRUE,
《云机·飞天志》第一集 - 木鸢化龙,（空）,（空）,（空）,manual,KkooRinva,E:\下载\展示视频内容\未知\《云机·飞天志》第一集 - 木鸢化龙 - - Martini Reel - Martini Art.mp4,,E:\下载\文生图生视频-admin.json,video,,,,TRUE,
《云机·飞天志》预告片,（空）,（空）,（空）,manual,PluutoQi,E:\下载\展示视频内容\未知\《云机·飞天志》预告片 - Martini Reel - Martini Art.mp4,,E:\下载\文生图生视频-admin.json,video,,,,TRUE,
speed 名场面复刻,（空）,（空）,（空）,manual,NoxxiiJet,E:\下载\展示视频内容\未知\speed 名场面复刻 - Martini Reel - Martini Art.mp4,,E:\下载\文生图生视频-admin.json,video,,,,TRUE,
不起眼的文物,（空）,（空）,（空）,manual,RoroHexa,E:\下载\展示视频内容\未知\不起眼的文物 - Martini Reel - Martini Art.mp4,,E:\下载\文生图生视频-admin.json,video,,,,TRUE,
盾碎甲燃，为爱狂战,（空）,（空）,（空）,manual,VeeVeeTao,E:\下载\展示视频内容\未知\盾碎甲燃，为爱狂战 - Martini Reel - Martini Art.mp4,,E:\下载\文生图生视频-admin.json,video,,,,TRUE,
废土机甲少女变身,（空）,（空）,（空）,manual,LoomyyKai,E:\下载\展示视频内容\未知\废土机甲少女变身 - Martini Reel - Martini Art.mp4,,E:\下载\文生图生视频-admin.json,video,,,,TRUE,
国风系列《猫将军》聊斋宇宙上新 X 海螺AI,（空）,（空）,（空）,manual,TrriiNoma,E:\下载\展示视频内容\未知\国风系列《猫将军》聊斋宇宙上新 X 海螺AI - Martini Reel - Martini Art.mp4,,E:\下载\文生图生视频-admin.json,video,,,,TRUE,
花木兰,（空）,（空）,（空）,manual,YaYaaFlux,E:\下载\展示视频内容\未知\花木兰 - Martini Reel - Martini Art.mp4,,E:\下载\文生图生视频-admin.json,video,,,,TRUE,
